Fish_ID,Group,Water_Temp_C,Water_pH,Water_O2_mgL,Chlorides_mgL,Nitrites_mgL,Nitrates_mgL,Ammonium_mgL,Phosphates_mgL,Feed_Type,Bodymass_g,Protein_perc,Lipids_perc
127,AG,26.39,7.766,9.148,94.66,0.1703,1.992,0.2669,0.1243,1,2167.43,13.416,3.092
128,AG,18.43,7.485,5.871,98.3,0.1309,2.349,0.2495,0.1079,1,2021.98,13.952,3.269
129,AG,20.08,7.463,7.007,89.19,0.1336,1.905,0.2972,0.1092,1,2026.3,14.726,3.441
130,AG,19.22,7.185,7.782,97.96,0.1107,1.833,0.2074,0.1185,1,1819.94,16.241,3.434
131,AG,20.83,7.366,6.618,100.35,0.1705,1.425,0.2115,0.1408,1,1800.38,14.616,3.346
132,AG,17.87,7.461,9.305,89.64,0.117,1.805,0.2302,0.1459,1,1904.71,14.135,2.865
133,AG,23.91,7.397,6.046,95.41,0.1505,1.805,0.2735,0.1324,1,1783.62,12.625,3.66
134,AG,21.33,7.707,6.889,90.01,0.1379,1.253,0.1318,0.1231,1,1818.9,15.942,2.848
135,AG,17.59,7.475,5.541,90.79,0.1084,1.584,0.2642,0.1259,1,1944.57,12.226,2.574
136,AG,18.95,7.693,6.078,86.0,0.1217,1.671,0.2188,0.2403,1,1981.53,13.944,3.62
137,AG,22.94,7.509,6.799,105.13,0.1815,1.965,0.1565,0.1092,1,1788.5,14.203,2.886
138,AG,24.51,7.506,7.516,103.53,0.146,1.985,0.0949,0.1177,1,2029.23,15.005,3.284
139,AG,27.99,7.487,6.883,99.3,0.1097,1.567,0.2118,0.25,1,2045.39,11.89,4.05
140,AG,30.0,7.501,8.011,110.78,0.1492,1.988,0.3069,0.1568,1,2184.41,10.217,3.78
141,AG,23.24,7.758,6.386,93.49,0.1356,1.727,0.3205,0.0848,1,2009.29,13.841,3.516
142,AG,19.03,7.152,6.101,119.25,0.2436,0.652,0.2413,0.1737,1,1948.79,16.085,3.359
143,AG,15.6,7.2,9.745,93.18,0.1486,1.606,0.3377,0.1036,1,1957.72,12.391,2.603
144,AG,22.8,7.419,6.973,97.04,0.1286,2.232,0.2174,0.1764,1,2053.22,14.661,3.314
145,AG,19.56,7.502,5.637,91.82,0.1826,1.127,0.2772,0.1316,1,1735.28,15.446,3.176
146,AG,20.75,7.604,5.667,97.98,0.0848,1.845,0.1929,0.1224,1,1874.49,14.767,3.153
147,AG,20.16,7.571,5.369,101.68,0.1428,2.434,0.1891,0.2044,1,1863.61,13.536,3.42
148,AG,21.58,7.442,7.624,94.09,0.1998,1.496,0.1793,0.1627,1,1908.82,13.728,3.958
149,AG,25.2,7.653,6.063,109.21,0.1365,1.801,0.0964,0.1789,1,1973.55,14.631,3.714
150,AG,22.47,7.655,6.653,96.91,0.088,1.278,0.2972,0.1574,1,2003.29,13.566,3.591
151,AG,21.52,7.528,6.424,97.16,0.1281,2.451,0.1815,0.1222,1,1958.81,14.498,3.04
152,AG,18.89,7.644,7.378,87.73,0.1836,1.767,0.1719,0.1645,1,1896.83,15.088,3.367
153,AG,16.98,7.541,5.484,98.35,0.1513,1.819,0.1492,0.1884,1,1751.81,13.321,3.446
154,AG,20.54,7.416,5.209,93.93,0.1148,2.342,0.2077,0.1454,1,2021.48,14.405,3.61
155,AG,21.84,7.605,6.769,90.13,0.1194,2.065,0.3258,0.2121,1,1980.23,13.946,3.59
156,AG,27.3,7.517,7.221,88.79,0.1232,1.45,0.3456,0.174,1,1891.76,12.903,4.008
157,AG,22.39,7.5,6.899,116.37,0.1508,1.541,0.1203,0.1485,1,1858.0,15.186,3.692
158,AG,24.95,7.721,5.529,92.89,0.1801,1.998,0.1987,0.1501,1,1740.88,16.271,3.619
159,AG,20.5,7.132,7.313,83.34,0.1716,1.55,0.1579,0.1455,1,1951.6,14.257,3.09
160,AG,18.45,7.287,5.607,89.41,0.1537,0.953,0.2793,0.09,1,1858.11,15.705,3.266
161,AG,19.1,7.322,5.874,94.59,0.1001,1.779,0.2372,0.1364,1,1811.96,12.765,2.964
162,AG,19.82,7.446,5.367,99.37,0.1002,1.208,0.1818,0.1488,1,2060.12,15.709,3.141
163,AG,28.39,7.462,8.061,99.44,0.156,2.447,0.2244,0.1234,1,1874.21,15.75,3.478
164,AG,19.54,7.274,7.26,100.41,0.0996,1.871,0.1914,0.1535,1,1977.07,14.224,2.68
165,AG,24.52,7.352,7.226,89.84,0.1332,1.438,0.3169,0.1409,1,2240.38,15.71,3.664
166,AG,19.29,7.371,7.997,97.72,0.1491,1.521,0.2528,0.1709,1,2036.41,15.411,2.818
167,AG,24.79,7.869,9.875,87.99,0.1059,1.044,0.2602,0.1665,1,2021.9,13.113,3.197
168,AG,23.15,7.77,4.449,90.04,0.1093,1.36,0.06,0.1467,1,1783.4,13.784,3.546
169,AG,21.53,7.438,5.614,87.66,0.1372,2.207,0.216,0.0853,1,1759.98,15.538,3.205
170,AG,21.88,7.445,5.761,85.49,0.1551,2.693,0.345,0.2116,1,1885.82,14.291,3.451
171,AG,20.04,7.328,5.479,103.51,0.1718,2.091,0.2996,0.1343,1,1781.39,11.889,3.189
172,AG,23.34,7.214,5.207,100.51,0.1582,1.763,0.1092,0.1368,1,1820.54,14.231,3.439
173,AG,20.64,7.482,6.14,102.81,0.1422,1.627,0.2012,0.1263,1,1843.54,14.58,3.078
174,AG,18.32,7.35,5.04,95.31,0.1176,1.417,0.1479,0.1205,1,1844.92,13.709,2.949
175,AG,18.17,7.487,6.902,101.21,0.1079,2.624,0.3227,0.2018,1,1926.71,17.231,3.606
176,AG,22.52,7.26,6.562,80.91,0.1247,1.725,0.2347,0.1954,1,1817.83,14.191,2.894
177,AG,26.74,7.386,7.077,101.9,0.1523,2.646,0.1739,0.1578,1,1890.37,14.046,3.521
178,AG,22.48,7.522,7.109,96.42,0.1501,2.357,0.222,0.1357,1,1916.2,16.051,3.121
179,AG,21.64,7.555,7.224,100.02,0.077,1.104,0.0636,0.1648,1,1894.58,14.76,3.525
180,AG,22.86,7.563,6.052,98.04,0.1164,1.534,0.1549,0.143,1,2140.34,15.729,3.005
181,AG,25.92,7.302,9.045,87.1,0.1761,1.532,0.2222,0.1324,1,2056.81,12.157,3.114
182,AG,22.66,7.628,6.781,83.02,0.1424,1.768,0.2707,0.1535,1,1772.45,13.02,3.333
183,AG,20.77,7.38,4.265,89.3,0.0975,1.776,0.1035,0.1224,1,1940.1,15.734,3.747
184,AG,25.32,7.595,5.297,99.52,0.2107,2.998,0.1971,0.1501,1,1999.96,16.147,3.629
185,AG,23.29,7.498,4.411,100.52,0.1391,1.369,0.2806,0.1482,1,1879.29,11.541,3.225
186,AG,26.61,7.294,6.521,84.06,0.1515,1.892,0.1329,0.1641,1,1861.35,12.949,3.494
187,AG,22.55,7.453,6.354,87.15,0.152,2.047,0.2338,0.1152,1,2158.99,14.759,3.528
188,AG,18.33,7.555,5.938,89.21,0.129,1.799,0.224,0.1684,1,1757.57,13.298,2.876
189,AG,17.9,7.592,8.913,92.14,0.1182,1.844,0.3229,0.1037,1,1997.38,14.077,2.771
190,AG,26.95,7.479,7.159,84.1,0.2037,1.382,0.2062,0.1171,1,2044.56,15.455,3.388
191,AG,27.17,7.73,7.371,83.62,0.1701,1.843,0.2097,0.1188,1,2099.66,13.176,3.326
192,AG,21.46,7.651,5.383,88.43,0.1647,2.005,0.2713,0.0971,1,2122.04,10.513,4.01
193,AG,20.85,7.462,5.301,95.69,0.1573,1.931,0.1404,0.1806,1,1957.89,12.565,3.309
194,AG,26.38,7.613,6.544,85.56,0.1099,2.028,0.2067,0.1012,1,1933.85,13.535,3.633
195,AG,18.68,7.79,6.708,94.07,0.1783,2.365,0.1927,0.112,1,2022.3,12.161,2.723
196,AG,19.32,7.794,4.272,103.47,0.1147,2.175,0.2117,0.1902,1,1761.47,13.112,3.674
197,AG,23.93,7.316,6.284,84.59,0.1485,1.829,0.2709,0.1172,1,1989.58,11.315,3.623
198,AG,20.82,7.361,6.517,93.35,0.0908,1.331,0.2532,0.1325,1,1759.01,16.171,3.112
199,AG,21.98,7.723,6.242,103.2,0.0788,1.56,0.1751,0.0995,1,1775.45,17.287,3.284
200,AG,21.51,7.341,5.524,91.65,0.1495,1.712,0.2282,0.1733,1,1918.01,12.187,3.176
201,AG,23.01,7.302,5.853,90.41,0.1157,1.901,0.3094,0.1739,1,1982.08,13.275,3.217
202,AG,26.22,7.427,6.288,104.31,0.0803,1.609,0.1701,0.1696,1,1743.93,12.154,4.07
203,AG,22.27,7.563,6.609,92.55,0.1562,1.426,0.2287,0.1615,1,1994.69,13.628,3.192
204,AG,23.93,7.485,7.226,103.84,0.2036,1.325,0.2084,0.1429,1,1837.65,17.213,2.557
205,AG,15.85,7.402,7.797,98.43,0.1817,1.14,0.2162,0.119,1,2014.63,14.806,3.241
206,AG,21.85,7.399,6.147,92.26,0.1323,1.706,0.1222,0.1074,1,1881.57,14.284,3.003
207,AG,19.47,7.393,5.953,98.84,0.1403,1.212,0.3046,0.1916,1,1741.0,12.097,3.282
208,AG,18.34,7.368,7.025,97.56,0.1666,1.4,0.1735,0.1706,1,1890.69,16.922,3.593
209,AG,19.37,7.842,7.233,103.17,0.1737,1.642,0.2816,0.1123,1,1773.02,10.0,2.917
210,AG,21.0,7.545,5.979,90.61,0.1297,1.266,0.1827,0.1416,1,2067.4,13.595,3.263
211,AG,24.75,7.633,7.448,95.33,0.141,1.952,0.1825,0.128,1,1970.44,14.314,2.993
212,AG,18.02,7.427,7.676,94.51,0.149,2.096,0.2928,0.0949,1,1876.91,13.435,2.338
213,AG,22.09,7.472,8.05,100.63,0.1566,1.58,0.2796,0.1471,1,2005.29,15.508,3.138
214,AG,20.55,7.393,8.634,86.8,0.136,1.625,0.2325,0.1234,1,1838.49,16.679,3.117
215,AG,21.02,7.102,5.46,103.14,0.1364,2.015,0.2657,0.1019,1,1721.57,11.328,3.317
216,AG,25.01,7.293,6.517,98.73,0.1814,1.514,0.2027,0.0808,1,2000.03,17.206,3.105
217,AG,23.61,7.228,6.514,84.46,0.1763,1.487,0.2195,0.0774,1,1837.95,11.937,3.17
218,AG,26.01,7.163,6.382,104.67,0.1543,2.279,0.1803,0.1251,1,1814.21,15.874,2.943
219,AG,21.54,7.321,5.721,112.87,0.1916,2.154,0.2742,0.1366,1,1962.48,13.907,3.395
220,AG,19.91,7.699,4.717,103.01,0.1284,2.041,0.1784,0.105,1,1915.18,13.221,3.288
221,AG,21.33,7.493,6.611,106.42,0.1887,2.17,0.3091,0.166,1,1738.61,13.111,3.858
222,AG,22.73,7.694,5.578,95.68,0.1563,1.009,0.201,0.1374,1,1842.9,13.848,3.397
223,AG,22.53,7.562,6.603,81.71,0.2381,2.342,0.2212,0.1631,1,1856.69,14.841,2.973
224,AG,18.75,7.617,5.547,80.25,0.1042,1.957,0.2655,0.1327,1,2120.71,12.209,3.208
225,AG,22.27,7.365,5.18,97.04,0.1193,2.204,0.2214,0.1085,1,2011.08,13.115,3.27
226,AG,22.68,7.579,6.781,90.26,0.1526,1.955,0.2021,0.1446,1,1897.77,13.141,3.454
227,AG,29.55,7.609,6.681,87.68,0.1519,1.82,0.2182,0.0895,1,2104.78,11.484,3.587
228,AG,27.63,7.414,7.195,94.5,0.1985,1.69,0.2736,0.1616,1,1840.51,12.28,3.191
229,AG,19.44,7.584,9.123,99.92,0.1199,1.947,0.1802,0.1025,1,1839.6,13.793,2.373
230,AG,21.14,7.585,6.833,83.38,0.1671,1.675,0.2124,0.1767,1,1960.28,13.861,3.38
231,AG,17.61,7.418,7.082,91.41,0.1749,2.147,0.2206,0.1265,1,1943.29,15.624,3.322
232,AG,20.23,7.332,5.207,107.08,0.1611,1.165,0.2719,0.1825,1,1841.45,13.707,3.427
233,AG,22.95,7.322,4.956,86.4,0.1112,1.583,0.214,0.0951,1,1963.46,16.286,3.643
234,AG,25.62,7.513,8.399,101.96,0.1822,2.618,0.3285,0.1129,1,1987.91,10.333,3.534
235,AG,19.81,7.549,5.392,91.12,0.1769,1.55,0.2106,0.1552,1,1871.2,14.913,3.338
236,AG,20.04,7.381,5.247,99.37,0.158,1.705,0.2057,0.1868,1,1835.21,14.086,3.162
237,AG,15.56,7.504,6.453,103.78,0.1461,1.447,0.2097,0.2067,1,1772.9,16.168,3.177
238,AG,21.51,7.586,6.392,100.93,0.1468,1.934,0.141,0.1417,1,1929.53,15.836,3.646
239,AG,18.81,7.593,5.417,102.27,0.1376,1.505,0.1578,0.2135,1,1900.62,14.317,3.588
240,AG,20.41,7.733,6.134,85.79,0.1592,1.726,0.1882,0.1284,1,1946.29,14.747,3.405
241,AG,19.37,7.692,7.975,103.91,0.1409,2.14,0.2881,0.184,1,1750.86,13.25,3.026
242,AG,21.72,7.35,5.533,88.18,0.1145,1.52,0.218,0.1023,1,1803.28,14.58,3.235
243,AG,16.73,7.753,4.828,97.08,0.1085,2.115,0.1909,0.1568,1,1878.31,11.379,3.189
244,AG,17.6,7.42,7.631,97.07,0.1174,2.129,0.2936,0.0463,1,2059.59,15.463,2.693
245,AG,28.39,7.657,7.091,98.88,0.1467,2.222,0.3131,0.0951,1,2018.1,12.769,3.852
246,AG,18.14,7.51,5.755,97.7,0.1392,1.856,0.2953,0.1587,1,1810.34,12.941,2.491
247,AG,18.71,7.438,4.601,88.25,0.1465,3.0,0.1688,0.0875,1,1899.83,13.898,3.106
248,AG,27.51,7.229,5.606,84.2,0.155,2.222,0.1903,0.1571,1,1867.3,13.175,3.717
249,AG,30.0,7.474,6.434,101.98,0.1212,1.93,0.3288,0.1763,1,2158.64,14.073,3.521
250,AG,18.49,7.266,7.899,96.49,0.184,1.45,0.2345,0.1199,1,1921.48,19.941,3.063
251,AG,20.9,7.645,5.256,104.2,0.132,1.761,0.2039,0.1012,1,1788.76,15.69,3.022
